Initial Guess,Remaining Valid Guesses,Remaining Valid Solutions
uraei,1956.934142,362.9428076
raise,2159.055026,366.0649913
soare,2122.837955,368.4683709
raile,1995.554593,371.1715771
arise,2256.946274,373.6286828
roate,2069.831456,382.9033795
arose,2321,384.3227903
aurei,2024.624783,384.7335355
ariel,2089.898614,386.4475737
coate,2168.084055,391.072357
haole,2177.912045,391.3284229
toile,2140.279896,391.9800693
orate,2154.355719,392.9610052
irate,2160.370017,393.2733969
saine,2301.588388,395.0749567
raine,2143.896447,395.4419411
louie,2201.608752,395.8973137
stoae,2275.958839,396.7759965
toise,2368.509099,399.8557192
alone,2270.792461,401.4991334
saice,2332.279463,401.9488735
oriel,2160.016464,402.2902946
aesir,2364.184142,402.8713172
ayrie,2158.506932,403.0983536
aloes,2159.632582,403.2608319
reais,2144.382582,404.9068458
slier,2240.061958,405.3916811
realo,2179.210139,405.7097054
anole,2297.82799,407.6117851
urate,2232.991768,408.5814558
taler,2100.604853,409.1858752
ourie,2229.468371,409.4540728
reoil,2178.094454,410.1295494
urase,2468.018198,410.6282496
serai,2239.509965,411.1499133
atone,2312.808059,413.5242634
ariot,2320.957972,413.6971404
sorel,2238.857019,413.8548527
artel,2177.704939,414.6156846
solei,2291.218371,415.8981802
siler,2250.074523,415.9189775
oater,2202.433709,416.1819757
later,2143.84662,417.5350953
ratel,2147.451473,417.6672444
saner,2296.386915,417.9012132
noise,2519.494801,417.957539
slane,2453.459272,417.995234
alure,2285.821057,418.0775563
soler,2275.517331,418.0940208
aisle,2506.756499,418.4987002
snare,2398.089255,419.0563258
slate,2379.250867,419.0610919
liane,2334.550693,419.6122184
oiler,2214.963172,420.6434142
paire,2313.192374,421.037695
trail,2291.708839,421.2097054
cosie,2552.978769,421.6893414
alter,2206.380849,421.7391681
salet,2307.57149,421.8743501
oaten,2263.113518,421.8752166
litre,2180.786395,421.9887348
laser,2384.57149,423.0381282
aeons,2292.143847,424.7915945
aeros,2236.859185,425.6850087
larnt,2187.052426,425.7283362
aiery,2274.363085,426.0485269
canoe,2379.799827,426.5576256
maire,2349.714471,426.7209705
lares,2149.159445,426.9943674
saute,2406.589255,427.555026
anise,2598.566724,427.7664645
tiler,2196.529029,428.2136049
leant,2293.97747,428.2803293
salue,2439.779029,428.3916811
arles,2201.541161,428.9722704
alert,2291.691508,429.0073657
ursae,2530.753033,429.9727036
liart,2299.464905,430.2253033
seral,2349.95104,430.559792
rales,2180.230936,431.5220971
stale,2452.254766,431.6403813
trial,2329.27383,431.6941075
urial,2378.191941,431.8483536
stole,2458.47487,432.4038128
irone,2378.905113,432.4046794
laten,2256.089255,432.6980069
sayer,2335.032496,432.9207106
toeas,2312.957972,433.3379549
osier,2540.460139,433.7365685
stare,2427.049393,433.7686308
aline,2442.120884,434.1269497
learn,2307.34662,434.1841421
loser,2450.324523,434.2612652
maise,2630.718371,434.3665511
potae,2397.697574,434.6256499
rails,2253.846187,434.767331
arils,2308.386049,434.8236568
ratio,2327.586222,434.9380416
hoise,2631.095321,435.0641248
crate,2366.010399,435.6386482
lairs,2264.289861,436.1906412
carse,2525.354853,436.5671577
solar,2457.334055,436.8145581
liter,2244.130849,437.4831023
terai,2294.342288,437.9861352
trace,2383.310659,438.4822357
snore,2489.155546,438.9831023
sayne,2491.765598,439.0788562
teary,2282.785529,439.1663778
rayne,2322.731369,439.2725303
reals,2287.558059,439.2950607
lores,2205.454073,439.322357
rayle,2303.071924,439.347487
roule,2354.789428,439.4657712
urali,2406.70234,439.6863085
tolar,2336.623917,439.7192374
torse,2483.535095,439.7954939
taser,2454.566724,439.8019931
paise,2640.573657,439.9020797
laris,2238.012998,439.9163778
rials,2312.020797,440.0086655
loure,2368.568458,441.5584922
carle,2342.607019,441.7339688
anile,2479.038995,441.8730503
relit,2262.979203,441.9064125
trone,2373.977036,442.1343154
loner,2302.97747,442.2889948
reast,2528.867418,442.3422877
stane,2543.270364,442.4168111
carte,2323.89688,442.479636
strae,2416.19714,442.7729636
riles,2215.864385,442.8661179
roles,2228.304593,442.8843154
lears,2306.876083,442.9514731
tares,2253.473137,443.1468804
soral,2461.863085,443.3795494
liars,2330.178943,443.4510399
nares,2257.97357,443.5290295
antre,2380.294627,443.5511265
tales,2285.278163,443.5714905
porae,2424.598354,443.6841421
orles,2264.801127,443.9857019
poise,2689.083189,443.9969671
alien,2435.520364,444.2300693
leirs,2268.79896,444.3591854
arsey,2532.260832,444.9861352
triol,2397.897747,445.0684575
ramie,2421.919844,445.355286
least,2557.046794,445.3955806
slart,2489.091854,445.4705373
soyle,2515.484402,445.6806759
clote,2427.794627,445.7118718
aures,2298.421144,446.0129983
caret,2323.131716,446.4380416
snarl,2535.143414,446.6182842
sauce,2578.34792,447.5151646
irade,2521.751733,447.5528596
toles,2297.004766,447.7079723
locie,2456.892114,447.7907279
crane,2477.769931,448.5151646
laers,2320.508666,448.8487868
socle,2565.879116,448.9302426
close,2716.860919,448.9644714
crise,2652.407712,449.0268631
tyler,2257.732669,449.7006066
siren,2441.142981,449.7257366
retia,2348.080589,449.7318024
haler,2341.485269,449.8630849
scare,2557.185009,450.0745234
cause,2685.231802,450.127383
teloi,2380.779029,450.2101386
neral,2357.903813,450.2348354
store,2508.490035,450.2465338
orals,2413.380849,450.2543328
ureal,2440.945407,450.3318891
togae,2491.776863,450.4510399
renal,2369.418111,450.5333622
sarin,2507.15208,450.8054593
reans,2373.420277,450.8115251
adieu,2489.646447,450.8921144
urite,2433.439775,451.0589255
deair,2497.161179,451.1377816
lanes,2340.752166,451.7660312
share,2580.415945,451.9354419
senor,2532.740901,451.9909012
rinse,2591.97747,453.0940208
trine,2427.013432,453.1542461
layer,2349.681109,453.1767764
shale,2644.778596,453.1811092
earls,2317.967071,453.2183709
liner,2349.915078,453.2222704
rates,2311.193241,453.2790295
slyer,2447.466638,453.4584055
stire,2507.998267,453.7196707
lacet,2379.069324,453.7564991
earnt,2400.392548,453.8249567
telia,2380.538562,453.9016464
liras,2315.09922,453.9393414
teals,2399.829289,453.9805026
rouse,2652.880849,455.2508666
maile,2541.731802,455.2595321
moire,2512.196274,455.2920277
tears,2394.993934,455.6330156
nerol,2386.145147,455.6750433
psoae,2780.506499,455.8674177
ronte,2393.187608,455.9397747
pareo,2424.065858,455.9506066
lotes,2340.52383,456.0307626
paseo,2642.760399,456.3604853
corse,2646.042894,456.4016464
riels,2334.111352,456.9536395
nears,2409.636915,457.2525997
isnae,2759.317158,457.2729636
rotal,2422.090555,457.3613518
moile,2567.95104,457.5272964
tries,2369.971404,457.7214038
morae,2504.656412,457.9380416
caste,2635.578856,458.1707106
yeast,2619.571924,458.3323224
aruhe,2537.87695,458.4298094
thale,2513.77383,458.4627383
roset,2569.094887,458.5
tinea,2422.45104,458.5389948
larns,2309.462738,458.6403813
scrae,2534.093588,458.7170711
liers,2347.306326,459.0056326
losen,2632.538562,459.147747
leary,2397.713605,459.1490468
lirot,2394.782062,459.2071057
seron,2531.744367,459.2218371
serin,2509.364818,459.5680243
hause,2731.20104,459.6633449
louse,2717.306759,459.7231369
halse,2687.662478,459.7842288
areic,2507.04636,459.9237435
sieur,2571.35182,460.0914211
route,2445.55156,460.207539
rimae,2507.098354,460.2482669
orant,2546.890381,460.3483536
tuile,2514.256066,460.3882149
sared,2519.846187,460.5645581
roast,2686.522097,460.6070191
sonar,2630.024697,460.9124783
amole,2617.592288,460.9913345
scale,2673.368718,461.1728769
cares,2345.575823,461.4159445
setal,2544.695841,461.6962738
earst,2604.369584,461.8938475
roils,2384.72227,462.0979203
stair,2636.491334,462.1594454
loirs,2391.214905,462.3132582
ulnae,2561.141248,462.3895147
yearn,2463.0013,462.5537262
cater,2412.20234,462.5680243
stone,2654.345321,462.6520797
resat,2603.272964,462.7318024
lyase,2731.348354,462.7829289
riley,2325.608752,462.8526863
auloi,2579.597487,462.8877816
aired,2481.724437,463.2209705
leats,2431.555026,463.2257366
trade,2533.757366,463.2885615
train,2539.67591,463.3669844
atoke,2610.768198,463.5528596
hoaed,2553.911179,463.7175043
loipe,2585.307626,463.9055459
aloed,2562.627816,464.0961872
loran,2453.155546,464.1286828
prate,2536.864385,464.2409012
leans,2460.503466,464.3080589
sarge,2585.762132,464.3886482
toyer,2407.979636,464.4142114
sitar,2605.409012,464.4722704
parle,2476.840121,464.4887348
react,2481.393847,464.7586655
reist,2615.738302,464.852253
tores,2359.732236,464.9016464
urine,2554.034229,465.2313692
ceria,2450.742634,465.2898614
score,2621.570191,465.3344887
lutea,2422.574957,465.4159445
trice,2499.414645,465.4202773
toner,2440.233536,465.647747
royne,2463.818458,465.6984402
taels,2453.910745,465.7681976
thole,2539.163778,465.9480069
soave,2748.389081,465.9852686
ureas,2466.980069,466.0021664
rance,2490.057626,466.5784229
ayres,2381.351386,466.6096187
yates,2409.477903,466.7794627
earns,2413.879549,466.8154246
touse,2724.493068,466.8197574
waite,2561.217938,466.907279
plate,2567.518198,467.1581456
teras,2397.004766,467.1863085
years,2451.269931,467.2136049
loris,2367.887348,467.4137782
luter,2396.447574,467.4488735
riant,2536.60052,467.4839688
stile,2627.135182,467.5155979
miaou,2667.840555,467.6451473
trape,2556.672877,467.9345754
sonce,2697.409012,468.1200173
neals,2482.687608,468.1754766
noser,2657.587522,468.5004333
aster,2670.519064,468.6854419
nates,2442.605286,468.7677643
stear,2602.755633,468.8661179
arets,2481.482236,469.0337955
eorls,2403.620884,469.3747834
rones,2388.884749,469.4124783
telos,2431.641248,469.5766898
hanse,2756.097054,469.7417678
tires,2379.84662,469.7655979
